 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
13.4640296,38.0279854,6.2946856,68.8271131,-0.1470546,-0.0012919,0.0006462
13.5298208,38.4719314,6.2947318,69.2769635,-0.1469788,0.0016175,0.0006462
13.5955201,38.9174907,6.2947779,69.7268139,-0.1456032,0.0044862,0.0006462
13.6604436,39.3640466,6.2948241,70.1766643,-0.1429322,0.0073552,0.0006462
13.7239072,39.8109825,6.2948703,70.6265147,-0.1389575,0.0102648,0.0006462
13.7852271,40.2576817,6.2949165,71.0763651,-0.133659,0.0132552,0.0006462
13.8437191,40.7035276,6.2949627,71.5262155,-0.1270045,0.0163682,0.0006463
13.8986993,41.1479035,6.2950088,71.976066,-0.1189489,0.0196473,0.0003153
13.9505915,41.5997244,6.2950314,72.4259164,-0.1097612,0.0199096,0.0001942
13.9984671,42.0527166,6.2950453,72.8757668,-0.1009031,0.0189732,0.0001942
14.0421834,42.5034808,6.2950591,73.3256172,-0.0925325,0.0179829,0.0001942
14.0820181,42.9521081,6.295073,73.7754676,-0.0846657,0.0169408,0.0001942
14.1182485,43.3986896,6.2950869,74.225318,-0.0773179,0.0158494,0.0001942
14.1511522,43.8433167,6.2951008,74.6751684,-0.0705034,0.0147109,0.0001942
14.1810068,44.2860805,6.2951146,75.1250188,-0.0642359,0.013528,7.55E-05
14.2085466,44.7347964,6.29512,75.5748692,-0.0584858,0.011867,-1.59E-05
14.2339122,45.187702,6.2951189,76.0247197,-0.0535655,0.0098161,-1.59E-05
14.257174,45.6389426,6.2951178,76.4745701,-0.0496034,0.0077115,-1.59E-05
14.2787883,46.0886312,6.2951166,76.9244205,-0.0466143,0.0055585,-1.59E-05
14.2992115,46.5368807,6.2951155,77.3742709,-0.0446111,0.0033624,-1.59E-05
14.3188999,46.9838041,6.2951143,77.8241213,-0.0436049,0.0011287,-1.59E-05
14.3383099,47.4295143,6.2951132,78.2739717,-0.0436055,-0.0011372,-7.23E-05
14.3580813,47.8785754,6.295108,78.7238221,-0.0444702,-0.0022562,-0.0001077
14.3783875,48.3294346,6.2951003,79.1736725,-0.0455756,-0.0026429,-0.0001077
14.3991917,48.7794243,6.2950926,79.623523,-0.0468533,-0.0030299,-0.0001077
14.4205762,49.2286817,6.2950849,80.0733734,-0.0483029,-0.003416,-0.0001077
14.4426227,49.6773443,6.2950773,80.5232238,-0.0499238,-0.0038003,-0.0001077
14.4654135,50.1255496,6.2950696,80.9730742,-0.0517149,-0.0041815,-0.0001077
14.4890303,50.5734349,6.2950619,81.4229246,-0.0536751,-0.0045585,6.75E-05
14.5135873,51.0216489,6.2950667,81.872775,-0.0558348,-0.0051014,0.0001186
14.53918,51.4699662,6.2950752,82.3226254,-0.0582574,-0.0056874,0.0001186
14.565927,51.918375,6.2950836,82.7724758,-0.0609423,-0.0062649,0.0001186
14.5939552,52.3670125,6.2950921,83.2223263,-0.0638864,-0.0068323,0.0001186
14.6233915,52.816016,6.2951006,83.6721767,-0.0670862,-0.0073878,0.0001186
14.6543626,53.2655226,6.295109,84.1220271,-0.0705376,-0.0079298,0.0001186
14.6869954,53.7156695,6.2951175,84.5718775,-0.074236,-0.0084567,6.62E-05
14.7210755,54.165392,6.2951222,85.0217279,-0.0764338,-0.0008549,6.32E-05
14.7553568,54.6154614,6.2951268,85.4715783,-0.0750061,0.0071802,6.32E-05
14.7881725,55.0655532,6.2951313,85.9214287,-0.0699469,0.0152553,6.32E-05
14.8178508,55.5152774,6.2951358,86.3712791,-0.0612313,0.0234488,6.32E-05
14.84272,55.9642439,6.2951403,86.8211296,-0.0488118,0.0318321,6.32E-05
14.8611084,56.4120628,6.2951448,87.27098,-0.0326213,0.0404656,-0.0007595
14.8713669,56.8601982,6.2950906,87.7208304,-0.0124609,0.0505383,-0.0083807
14.8709618,57.3231312,6.2944916,88.1706808,0.015883,0.0722162,-0.0083799
14.8552631,57.7817721,6.2938927,88.6205312,0.0543543,0.0958427,-0.0083791
14.8199074,58.2340817,6.2932938,89.0703816,0.1036239,0.1217804,-0.0083783
14.7605313,58.6780211,6.2926949,89.520232,0.164399,0.1499541,-0.0083775
14.6727712,59.1115515,6.292096,89.9700824,0.23725,0.1795475,-0.0083767
14.5522637,59.5326338,6.291497,90.4199329,0.3223504,0.2086674,-0.0062358
14.3926569,59.9442687,6.2910511,90.8697833,0.4174114,0.2093088,-0.0043413
14.1932412,60.3442871,6.2907407,91.3196337,0.5057571,0.1858452,-0.0043411
13.9602548,60.7279539,6.2904303,91.7694841,0.5840181,0.1630195,-0.0043409
13.6985705,61.0951581,6.2901198,92.2193345,0.6527209,0.1420299,-0.0043407
13.4130613,61.4457887,6.2898094,92.6691849,0.7126399,0.1233634,-0.0043405
13.1086002,61.7797346,6.2894989,93.1190353,0.7646234,0.1070448,-0.0033098
12.7882449,62.0986158,6.2892622,93.5688857,0.8096435,0.0901128,0.0046265
12.444572,62.4143437,6.2895931,94.0187361,0.8428976,0.052014,0.0046267
12.0975977,62.7180116,6.289924,94.4685866,0.8577386,0.0118793,0.004627
11.7539955,63.015469,6.2902549,94.918437,0.8535164,-0.031159,0.0046272
11.4204387,63.3125651,6.2905859,95.3682874,0.8292685,-0.0783427,0.0046275
11.1036008,63.6151495,6.2909168,95.8181378,0.7837288,-0.1305547,0.0046277
10.8101551,63.9290715,6.2912477,96.2679882,0.7156101,-0.1871189,-0.0248644
10.5379702,64.2721968,6.2894695,96.7178386,0.6215524,-0.2426667,-0.0249279
10.306141,64.6378731,6.2876863,97.167689,0.5046349,-0.2959799,-0.0249208
10.1227796,65.0301292,6.2859031,97.6175394,0.3670285,-0.3356332,-0.0249138
9.9959741,65.4530217,6.2841199,98.0673899,0.214657,-0.3485687,-0.0249067
9.9338121,65.9106074,6.2823367,98.5172403,0.0569299,-0.3287516,-0.0207264
9.9432184,66.3946094,6.2808524,98.9670907,-0.0920783,-0.2788427,0.0189582
10.0000838,66.7919212,6.2822101,99.4169411,-0.1869747,-0.1998401,0.0189623
10.0952785,67.2072096,6.2835678,99.8667915,-0.2599064,-0.1463466,0.0189664
10.2227815,67.6351516,6.2849255,100.3166419,-0.3165088,-0.1096003,0.0189705
10.376572,68.0704242,6.2862831,100.7664923,-0.3607563,-0.0836104,0.0189746
10.5506289,68.5077046,6.2876408,101.2163427,-0.3953845,-0.0644672,0.0189787
10.7389315,68.9416698,6.2889985,101.6661932,-0.4222324,-0.0495676,0.0189828
10.9354586,69.366997,6.2903562,102.1160436,-0.4424677,-0.0370293,0.0039124
11.1467684,69.8039797,6.290636,102.565894,-0.4570074,-0.0178637,-0.0507605
11.3948671,70.3080813,6.287005,103.0157444,-0.4525649,0.037378,-0.0507312
11.614677,70.7791662,6.283374,103.4655948,-0.4133427,0.1217611,-0.0507019
11.7864044,71.2150817,6.279743,103.9154452,-0.3258052,0.2694687,-0.0506726
11.8902558,71.6136747,6.276112,104.3652956,-0.1654386,0.5410362,-0.0506433
11.9064373,71.9727926,6.272481,104.815146,0.1007942,0.9589295,-0.1132922
11.8122743,72.2958974,6.2643507,105.2649965,0.4798397,1.158531,-0.5286984
11.5643116,72.5996153,6.2262685,105.7148469,0.8675819,0.8299103,-0.5254746
11.2000986,72.8185956,6.1881862,106.1646973,1.1795366,0.6624969,-0.5222507
10.7615529,72.9283907,6.150104,106.6145477,1.4692423,0.6324024,-0.5190269
10.2905921,72.9045531,6.1120218,107.0643981,1.7766387,0.670523,-0.515803
9.8291338,72.7226352,6.0739396,107.5142485,2.1169533,0.6805544,0.1620489
9.5199678,72.4767734,6.0859295,107.9640989,2.3537239,0.4844348,0.3125745
9.2626074,72.1736066,6.1089902,108.4139493,2.5108044,0.3190404,0.3137566
9.0297446,71.81071,6.1320509,108.8637998,2.6239449,0.215097,0.3149388
8.8201222,71.4018976,6.1551116,109.3136502,2.7067408,0.1508334,0.3161209
8.6324833,70.9609836,6.1781723,109.7635006,2.7684979,0.1100347,0.3173031
8.4655706,70.5017819,6.201233,110.213351,2.8152142,0.0829211,0.3184853
8.3181272,70.0381069,6.2242938,110.6632014,2.8506616,0.0636853,0.3196674
8.188896,69.5837725,6.2473545,111.1130518,2.8770892,0.0485029,0.0894394
8.0637918,69.0990755,6.2537914,111.5629022,2.9008196,0.0466454,0.0733915
7.9553833,68.6360027,6.2590684,112.0127526,2.922066,0.0419719,0.0734534
7.8606072,68.1926415,6.2643454,112.462603,2.9392521,0.0330751,0.0735153
7.7753798,67.7633126,6.2696224,112.9124535,2.9510676,0.0202759,0.0735772
7.6956176,67.3423366,6.2748994,113.3623039,2.9565077,0.0047718,0.0736391
7.6172368,66.9240342,6.2801764,113.8121543,2.9550566,-0.0115464,0.073701
7.5361539,66.5027263,6.2854534,114.2620047,2.946792,-0.0265552,0.0172333
7.4498482,66.0781264,6.2866866,114.7118551,2.9354818,-0.0250761,0.0146168
7.3571818,65.6465695,6.2877325,115.1617055,2.9247964,-0.0234265,0.0146192
7.2585578,65.2095306,6.2887783,115.6115559,2.9145856,-0.0222252,0.0146216
7.1544184,64.7686814,6.2898241,116.0614063,2.9047171,-0.0214068,0.0146241
7.0452056,64.3256934,6.29087,116.5112568,2.8950717,-0.020929,0.0146265
6.9313615,63.8822382,6.2919158,116.9611072,2.8855383,-0.020768,0.0146289
6.8133283,63.4399873,6.2929616,117.4109576,2.8760101,-0.0209162,0.0041106
6.6921611,63.0026458,6.2932555,117.860808,2.8667059,-0.0199532,0.0029812
6.5675778,62.5682637,6.2934686,118.3106584,2.8579504,-0.0187848,0.0029813
6.4397092,62.1362742,6.2936817,118.7605088,2.8497629,-0.0175513,0.0029814
6.3087533,61.7063566,6.2938948,119.2103592,2.8421631,-0.0162599,0.0029815
6.1749078,61.27819,6.2941079,119.6602096,2.8351681,-0.0149177,0.0029816
6.0383706,60.8514538,6.294321,120.1100601,2.8287931,-0.0135323,0.0029817
5.8993396,60.425827,6.2945341,120.5599105,2.8230508,-0.0121113,0.0013057
5.7571733,59.9984886,6.2946274,121.0097609,2.8179202,-0.0106764,0.0009114
5.6127824,59.5713353,6.2946925,121.4596113,2.8134275,-0.0092533,0.0009114
5.4666895,59.1450177,6.2947576,121.9094617,2.8095764,-0.0078387,0.0009114
5.3192206,58.7195894,6.2948228,122.3593121,2.8063644,-0.0064285,0.0009114
5.1707015,58.2951041,6.2948879,122.8091625,2.8037903,-0.0050187,0.0009114
5.0214584,57.8716155,6.294953,123.2590129,2.8018539,-0.0036048,0.0009114
4.8718171,57.4491773,6.2950182,123.7088634,2.8005567,-0.0021824,0.0003545
4.7206467,57.0237953,6.2950435,124.1587138,2.799759,-0.0015334,0.0001862
4.5690898,56.5982603,6.2950568,124.6085642,2.7991605,-0.0011154,0.0001862
4.4176389,56.173699,6.2950701,125.0584146,2.7987529,-0.0006922,0.0001862
4.266352,55.7500148,6.2950834,125.508265,2.7985375,-0.0002644,0.0001862
4.115287,55.3271108,6.2950967,125.9581154,2.7985156,0.0001675,0.0001862
3.9645021,54.9048905,6.29511,126.4079658,2.7986882,0.0006028,0.0001862
3.8140552,54.483257,6.2951233,126.8578162,2.799056,0.001041,5.99E-05
3.6627813,54.0587089,6.2951276,127.3076667,2.7995409,0.0010261,3.09E-05
3.511617,53.6338473,6.2951298,127.7575171,2.7999766,0.000906,3.09E-05
3.3608108,53.2094433,6.295132,128.2073675,2.8003574,0.0007849,3.09E-05
3.2103312,52.785484,6.2951342,128.6572179,2.8006831,0.000663,3.09E-05
3.0601468,52.3619561,6.2951364,129.1070683,2.8009535,0.0005402,3.09E-05
2.9102264,51.9388464,6.2951387,129.5569187,2.8011683,0.0004167,3.09E-05
2.7605384,51.5161419,6.2951409,130.0067691,2.8013274,0.0002925,1.49E-05
2.6101486,51.0912696,6.2951419,130.4566195,2.8014517,0.0002666,1.36E-05
2.4598756,50.6665647,6.2951429,130.9064699,2.8015677,0.0002483,1.36E-05
2.3097757,50.2421986,6.2951439,131.3563204,2.8016754,0.0002299,1.36E-05
2.1598345,49.8181414,6.2951449,131.8061708,2.8017746,0.0002114,1.36E-05
2.0100373,49.3943633,6.2951458,132.2560212,2.8018654,0.0001927,1.36E-05
1.8603695,48.9708346,6.2951468,132.7058716,2.8019478,0.0001739,1.26E-05
1.7107735,48.5474037,6.2951477,133.155722,2.8020216,0.0001511,1.5E-06
1.5608183,48.1228678,6.2951478,133.6055724,2.802075,8.62E-05,1.5E-06
1.4109411,47.6985004,6.2951479,134.0554228,2.8020992,2.12E-05,1.5E-06
1.2611197,47.2742782,6.295148,134.5052732,2.8020941,-4.39E-05,1.5E-06
1.111332,46.850178,6.2951481,134.9551237,2.8020596,-0.0001092,1.5E-06
0.9615558,46.4261766,6.2951482,135.4049741,2.8019959,-0.0001744,1.5E-06
0.8117688,46.0022508,6.2951483,135.8548245,2.8019028,-0.0002397,1.1E-06
0.6619391,45.5783491,6.2951484,136.3046749,2.8017823,-0.0002718,1E-07
0.5120348,45.1543962,6.2951484,136.7545253,2.8016733,-0.0002132,1E-07
0.3620829,44.7304382,6.2951484,137.2043757,2.8015906,-0.0001545,1E-07
0.2120847,44.3064429,6.2951484,137.6542261,2.8015343,-9.58E-05,1E-07
0.0620414,43.8823784,6.2951484,138.1040765,2.8015044,-3.71E-05,1E-07
-0.0880456,43.4582127,6.2951484,138.553927,2.8015009,2.15E-05,1E-07
-0.2381752,43.0339137,6.2951485,139.0037774,2.8015238,8E-05,1E-07
-0.3881593,42.6099787,6.2951485,139.4536278,2.8015674,8.39E-05,1E-07
-0.5379654,42.1864976,6.2951485,139.9034782,2.801591,2.14E-05,1E-07
-0.6878423,41.7628038,6.2951485,140.3533286,2.8015866,-4.1E-05,1E-07
-0.8378107,41.3388761,6.2951485,140.803179,2.8015542,-0.0001032,1E-07
-0.9878915,40.9146932,6.2951485,141.2530294,2.8014938,-0.0001652,1E-07
