 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
-52.1621881,-7.1003606,9.871134,53.4837826,0.8495595,-0.1502196,-0.0576989
-52.5234811,-6.7578323,9.8693858,53.983631,0.7745866,-0.1502004,-0.0554352
-52.8580778,-6.3893923,9.86759,54.4834794,0.7001145,-0.1488992,-0.0554233
-53.1647104,-5.9968725,9.8657942,54.9833279,0.6263698,-0.1470619,-0.0554115
-53.4425817,-5.5816916,9.8639985,55.4831763,0.5534364,-0.1447837,-0.0553997
-53.6908949,-5.1452682,9.8622027,55.9830247,0.4813701,-0.1421525,-0.0480104
-53.9068611,-4.6936305,9.8598702,56.4828732,0.4110808,-0.1377605,-0.0390513
-54.0902853,-4.2306594,9.8570288,56.9827216,0.3437564,-0.1329017,-0.0390455
-54.2432891,-3.7543061,9.8541875,57.48257,0.2780689,-0.1299489,-0.0390396
-54.3652154,-3.2679073,9.8513461,57.9824185,0.2132415,-0.1288796,-0.0390337
-54.455407,-2.7747995,9.8485047,58.4822669,0.1485002,-0.1296898,-0.0390278
-54.5132066,-2.2783193,9.8456634,58.9821154,0.0830681,-0.1324011,-0.0298659
-54.5381529,-1.7756176,9.8434887,59.4819638,0.0160016,-0.1337816,-0.0287005
-54.5292981,-1.2740669,9.8414528,59.9818122,-0.0514033,-0.1349256,-0.0286973
-54.4867662,-0.7761927,9.8394168,60.4816607,-0.1191387,-0.1361461,-0.0286941
-54.4107448,-0.2837577,9.8373808,60.9815091,-0.1873066,-0.1374291,-0.028691
-54.3014217,0.201475,9.8353449,61.4813575,-0.2560029,-0.138742,-4.1769345
-54.1580787,0.680401,9.8264521,61.981206,-0.3258286,-0.1413508,-10.1584562
-53.9797428,1.1514697,9.7864158,62.4810544,-0.3984913,-0.1474647,-9.7285811
-53.767617,1.606573,9.7463796,62.9809028,-0.4745267,-0.1556656,-9.298706
-53.5218175,2.0416688,9.7063433,63.4807513,-0.5547843,-0.1657543,-8.8688308
-53.2424603,2.4527151,9.6663071,63.9805997,-0.6400185,-0.1773646,-8.4389557
-52.9296616,2.8356699,9.6262708,64.4804481,-0.7308203,-0.1898698,-16.8402199
-52.566165,3.2019762,8.8203714,64.9802966,-0.834243,-0.212688,-14.9238653
-52.1697269,3.522347,7.726537,65.480145,-0.9508965,-0.2467596,-12.8657494
-51.7447031,3.7856631,6.6327026,65.9799934,-1.0851134,-0.2914586,-10.8076335
-51.2952093,3.981073,5.5388683,66.4798419,-1.2404929,-0.3424297,-8.7495176
-50.8253612,4.0977254,4.4450339,66.9796903,-1.4181111,-0.3881571,2.4014689
-50.3382395,4.1269845,4.4064422,67.4795388,-1.5983119,-0.3346982,4.9997944
-49.8440629,4.0748186,4.8733541,67.9793872,-1.7483443,-0.2711498,5.6473754
-49.3538955,3.953991,5.3402659,68.4792356,-1.8726456,-0.22397,6.2949564
-48.8784803,3.7773337,5.8071778,68.9790841,-1.977944,-0.1937884,6.9425374
-48.4285603,3.5576786,6.2740896,69.4789325,-2.0708043,-0.1796163,5.6526964
-47.988104,3.2884465,6.5909681,69.9787809,-2.173723,-0.2384679,5.14934
-47.592316,2.9739321,6.8358932,70.4786294,-2.3194986,-0.3411139,5.4201281
-47.268046,2.6119329,7.0808182,70.9784778,-2.5110687,-0.4427603,5.6909162
-47.0293803,2.1931769,7.3257432,71.4783262,-2.7400557,-0.4914038,5.8870193
-46.8908156,1.7109178,7.5674371,71.9781747,-2.9797258,-0.4426474,3.2011847
