 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
-30.8003044,34.330579,8.8905686,111.9885499,-1.1903494,0.0009341,0.0108591
-30.3360637,34.5163613,8.8911793,112.4884988,-1.1899253,0.0007625,0.010101
-29.8720356,34.7022644,8.8917472,112.9884476,-1.1895743,0.0008073,0.0076245
-29.4084916,34.888209,8.8921759,113.4883965,-1.1889838,0.0015572,0.0076248
-28.945015,35.0745451,8.8926046,113.9883454,-1.188019,0.0023051,0.0076252
-28.4815756,35.2614866,8.8930333,114.4882943,-1.1866808,0.0030496,0.0076256
-28.0181429,35.4492472,8.8934619,114.9882432,-1.1849708,0.0037892,0.0076259
-27.5546867,35.6380407,8.8938906,115.4881921,-1.1828907,0.0045225,0.0070596
-27.0920548,35.8277197,8.8942875,115.9881409,-1.1804443,0.0053071,0.0053541
-26.6319819,36.017778,8.8945884,116.4880898,-1.177565,0.0062589,0.0053543
-26.1717925,36.2095661,8.8948894,116.9880387,-1.1742101,0.0071964,0.0053545
-25.7114537,36.4033593,8.8951903,117.4879876,-1.170385,0.0081171,0.0053546
-25.2509326,36.5994331,8.8954913,117.9879365,-1.1660957,0.0090187,0.0053548
-24.7901963,36.7980626,8.8957922,118.4878854,-1.1613489,0.0098989,0.0049607
-24.3305325,36.9989413,8.896071,118.9878342,-1.1561864,0.0104097,0.0035496
-23.875369,37.2006459,8.8962705,119.4877831,-1.1511844,0.0096895,0.0035497
-23.4201093,37.4050297,8.89647,119.987732,-1.1465235,0.0089942,0.0035497
-22.9648933,37.6118567,8.8966694,120.4876809,-1.1421956,0.0083211,0.0035498
-22.5098609,37.8208907,8.8968689,120.9876298,-1.1381933,0.0076675,0.0035499
-22.055152,38.0318956,8.8970684,121.4875787,-1.13451,0.0070308,0.0034578
-21.601031,38.2445767,8.8972627,121.9875275,-1.1311414,0.0063904,0.0026912
-21.1485237,38.4582658,8.8974139,122.4874764,-1.1281393,0.005609,0.0026913
-20.6966386,38.6732144,8.8975651,122.9874253,-1.1255268,0.0048332,0.0026913
-20.245409,38.889191,8.8977164,123.4873742,-1.1233022,0.0040611,0.0026914
-19.7948681,39.1059637,8.8978676,123.9873231,-1.1214642,0.0032911,0.0026914
-19.3450493,39.3233009,8.8980188,124.487272,-1.1200123,0.0025214,0.0026914
-18.895986,39.540971,8.89817,124.9872208,-1.1189463,0.0017502,0.0018147
-18.443138,39.7608088,8.898272,125.4871697,-1.1191193,-0.0025118,0.0017974
-17.9908102,39.9796879,8.898373,125.9871186,-1.1214789,-0.0068915,0.0017974
-17.5388932,40.1964415,8.898474,126.4870675,-1.1260449,-0.0113446,0.0017974
-17.0871879,40.4099466,8.8985749,126.9870164,-1.1328444,-0.015895,0.0017974
-16.6354948,40.6190803,8.8986759,127.4869653,-1.1419125,-0.0205654,0.0017974
-16.1836145,40.8227196,8.8987769,127.9869141,-1.1532908,-0.0253761,-0.0107339
-15.7227535,41.0230344,8.8981738,128.486863,-1.1695683,-0.0402764,-0.0118759
-15.2592584,41.213448,8.8975066,128.9868119,-1.1937675,-0.0563541,-0.011875
-14.7923166,41.3900687,8.8968393,129.4867608,-1.2259364,-0.0725114,-0.0118741
-14.3203489,41.5493448,8.896172,129.9867097,-1.2660326,-0.0883832,-0.0118732
-13.8417757,41.6877247,8.8955047,130.4866586,-1.3138605,-0.1034067,-0.0118723
-13.3550176,41.8016568,8.8948374,130.9866074,-1.369004,-0.1168261,-0.0550862
-12.8474945,41.8905029,8.8917407,131.4865563,-1.4242426,-0.0973797,-0.0562675
-12.3356348,41.953751,8.8885764,131.9865052,-1.4700322,-0.0806874,-0.0562475
-11.8262492,41.9952972,8.8854121,132.4864541,-1.5076056,-0.0666689,-0.0562275
-11.3258149,42.0191053,8.8822479,132.986403,-1.5378787,-0.0543157,-0.0562075
-10.8408091,42.0291397,8.8790836,133.4863519,-1.5613913,-0.0425356,-0.0592028
-10.3529464,42.029143,8.8757495,133.9863007,-1.5797862,-0.0446424,-0.073393
-9.7876829,42.0126744,8.8716145,134.4862496,-1.6285936,-0.1357063,-0.0733588
-9.2740839,41.9594132,8.8674795,134.9861985,-1.7315584,-0.2742833,-0.0733246
-8.8160196,41.8476686,8.8633445,135.4861474,-1.9034454,-0.461993,-0.0732904
-8.4173601,41.6557499,8.8592094,135.9860963,-2.147654,-0.6230918,-0.0470605
-8.103477,41.3889461,8.8565533,136.4860452,-2.3953063,-0.5296048,-0.0390304
-7.8435422,41.0430892,8.8543498,136.985994,-2.5862794,-0.3566328,-0.0390207
-7.6205403,40.6165743,8.8521462,137.4859429,-2.7223805,-0.2192762,-0.039011
-7.4256715,40.1132381,8.8499427,137.9858918,-2.8138937,-0.1282624,-0.0390013
-7.2501364,39.5369169,8.8477392,138.4858407,-2.8722699,-0.0709453,0.0231354
-7.1278558,39.0668977,8.8490464,138.9857896,-2.8997751,-0.0447122,0.0308983
-7.015037,38.5901255,8.8507919,139.4857385,-2.9173464,-0.0280888,0.0309044
-6.9052949,38.0952951,8.8525374,139.9856873,-2.9283058,-0.0156967,0.0309105
-6.7977293,37.5910293,8.8542829,140.4856362,-2.933665,-0.0052953,0.0309166
-6.6914402,37.0859513,8.8560284,140.9855851,-2.9338332,0.0047099,0.0309227
-6.5855277,36.5886841,8.8577739,141.485534,-2.9287071,0.0158202,0.0309288
-6.4790917,36.1078507,8.8595194,141.9854829,-2.917634,0.0299555,0.0352921
-6.3535499,35.5765054,8.8615107,142.4854318,-2.901732,0.0277488,0.0353398
-6.2265858,35.0723873,8.8635043,142.9853806,-2.888415,0.0230439,0.0353477
-6.0990549,34.5898642,8.8654979,143.4853295,-2.8785766,0.0159595,0.0353557
-5.9716515,34.1225956,8.8674915,143.9852784,-2.8729732,0.0068606,0.0353636
-5.8450696,33.6642412,8.869485,144.4852273,-2.8721327,-0.0034673,0.0346618
-5.7196845,33.2072868,8.8714386,144.9851762,-2.8762655,-0.0131923,0.02639
-5.5927305,32.7339352,8.8729257,145.4851251,-2.8829055,-0.013888,0.0263944
-5.4681309,32.256355,8.8744128,145.9850739,-2.8899114,-0.0144829,0.0263989
-5.3459382,31.7738543,8.8758999,146.4850228,-2.8972466,-0.014973,0.0264033
-5.2262047,31.2857411,8.8773869,146.9849717,-2.9048727,-0.0153564,0.0264077
-5.1089827,30.7913237,8.878874,147.4849206,-2.9127507,-0.0156333,0.0233151
-4.9965396,30.2998104,8.8801867,147.9848695,-2.9205503,-0.0143047,0.0176526
-4.8903043,29.8199029,8.8811805,148.4848184,-2.9266094,-0.0104043,0.0176545
-4.7855059,29.3346688,8.8821743,148.9847672,-2.9308583,-0.0067555,0.0176565
-4.6814933,28.8450799,8.8831681,149.4847161,-2.9333659,-0.0032952,0.0176585
-4.5776157,28.3521077,8.8841618,149.984665,-2.9341824,3.31E-05,0.0176605
-4.4732219,27.8567239,8.8851556,150.4846139,-2.9333405,0.0032812,0.0159204
-4.3681031,27.3619648,8.8860514,150.9845628,-2.9308773,0.0063864,0.0117008
-4.2622976,26.8717031,8.8867097,151.4845117,-2.9269616,0.0092323,0.0117017
-4.1541864,26.3817762,8.887368,151.9844605,-2.921607,0.0121234,0.0117025
-4.0432091,25.8930087,8.8880262,152.4844094,-2.9147905,0.0150939,0.0117034
-3.9288056,25.4062252,8.8886845,152.9843583,-2.9064774,0.0181785,0.0117043
-3.8104157,24.9222505,8.8893428,153.4843072,-2.8966219,0.0214127,0.0107475
-3.6868061,24.4393426,8.8899473,153.9842561,-2.885096,0.0249662,0.0050288
-3.5537925,23.9458191,8.8902301,154.484205,-2.8711712,0.0295786,0.005029
-3.4144571,23.458206,8.8905129,154.9841538,-2.8549292,0.0345468,0.0050292
-3.2680022,22.9775876,8.8907957,155.4841027,-2.8362384,0.0399381,0.0050293
-3.1136299,22.5050483,8.8910785,155.9840516,-2.8149463,0.0458215,0.0050295
-2.9505426,22.0416724,8.8913613,156.4840005,-2.7908811,0.0522668,0.0025139
-2.7750748,21.58132,8.8915026,156.9839494,-2.7634105,0.059102,-0.0065906
