?,Raceline,Speed changing,,,,,,,,,,
R2,n/a,0.97877202,0.97179578,0.97317171,0.97159804,0.97037927,0.9475855,n/a,n/a,n/a,0.9726971,n/a
Explain variance,n/a,0.97951023,0.97201717,0.9733226,0.97213966,0.97181776,0.9715179,n/a,n/a,n/a,0.97279207,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Shanghai/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,5.87,7.67,9.87,75.65,78.87,n/a,n/a,n/a,n/a,19.96,n/a
RMSE,n/a,0.07284629,0.0727436,0.07258898,0.0790068,0.09573638,n/a,n/a,n/a,n/a,0.07082653,n/a
R2,n/a,0.9713903,0.97147091,0.97159206,0.96634673,0.95058574,n/a,n/a,n/a,n/a,0.97295479,n/a
Explain variance,n/a,0.97227466,0.9722872,0.97237071,0.96712184,0.95276688,n/a,n/a,n/a,n/a,0.97528897,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Shanghai/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,n/a,6.62,3.62,33.28,33.96,7.12,n/a,n/a,n/a,4.81,n/a
RMSE,n/a,n/a,0.07894515,0.08368849,0.09560284,0.17327954,0.07701028,n/a,n/a,n/a,0.08269991,n/a
R2,n/a,n/a,0.96673372,0.96261601,0.95121403,0.88048271,0.96834438,n/a,n/a,n/a,0.96349407,n/a
Explain variance,n/a,n/a,0.9672206,0.9629422,0.95184549,0.88573378,0.9689003,n/a,n/a,n/a,0.96719795,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Raceline,Speed changing,,,,,,,,,,
YasMarina/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,68.94,119.38,196.95,70.76,59.4,168.9,328.24,90.79,318.75,217.68,218.77,557.88
RMSE,0.12684375,0.12988215,0.11692673,0.11462006,0.12523166,0.11942305,0.12212411,0.12465705,0.12056705,0.11310361,0.11847801,0.12592775
R2,0.96055245,0.95863997,0.96647958,0.96778908,0.96154878,0.96503301,0.96343339,0.96190083,0.96435988,0.96863576,0.96558424,0.96112014
